"","state","order_date"
"1","Alabama",2020-04-03
"2","Alaska",2020-03-27
"3","Arizona",2020-03-30
"4","California",2020-03-19
"5","Colorado",2020-03-25
"6","Connecticut",2020-03-20
"7","Delaware",2020-03-22
"8","District of Columbia",2020-03-30
"9","Florida",2020-04-01
"10","Georgia",2020-04-02
"11","Hawaii",2020-03-23
"12","Idaho",2020-03-25
"13","Illinois",2020-03-20
"14","Indiana",2020-03-23
"15","Kansas",2020-03-28
"16","Kentucky",2020-03-22
"17","Louisiana",2020-03-22
"18","Maine",2020-03-31
"19","Maryland",2020-03-30
"20","Massachusetts",2020-03-23
"21","Michigan",2020-03-23
"22","Minnesota",2020-03-25
"23","Mississippi",2020-04-01
"24","Missouri",2020-04-03
"25","Montana",2020-03-26
"26","Nevada",2020-03-31
"27","New Hampshire",2020-03-26
"28","New Jersey",2020-03-21
"29","New Mexico",2020-03-23
"30","New York",2020-03-20
"31","North Carolina",2020-03-27
"32","Ohio",2020-03-22
"33","Oklahoma",2020-04-01
"34","Oregon",2020-03-23
"35","Pennsylvania",2020-04-01
"36","Puerto Rico",2020-03-15
"37","Rhode Island",2020-03-30
"38","South Carolina",2020-04-06
"39","South Dakota",2020-03-23
"40","Tennessee",2020-03-30
"41","Texas",2020-03-31
"42","Utah",2020-03-27
"43","Vermont",2020-03-24
"44","Virginia",2020-03-30
"45","Washington",2020-03-23
"46","West Virginia",2020-03-23
"47","Wisconsin",2020-03-24
